# score	source	age_h	payout_hint	tags	url	title
4	sn/bitcoin	6.7	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1484790	How to decode an arcade address (and a bitcoin address) - James Scaur
2	github	33.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/spiffamani/swiftpay/issues/4	[MEDIUM] Build the Post a Job form
2	github	33.9	-	OPEN_ISSUE,LOW_COMP	https://github.com/spiffamani/swiftpay/issues/2	[TRIVIAL] Create a reusable JobCard component
2	github	16.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/atharvnaik1/ipaship-app-reviewer/issues/86	Solve minor bugs, and run the application bounty ₹2000
2	github	48.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/8	[radar] SN open bounty 2026-05-03T23:30
2	github	52.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/4	[radar] SN open bounty 2026-05-03T20:07
2	github	54.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/3	[radar] SN open bounty 2026-05-03T17:36
0	github	16.7	-	OPEN_ISSUE	https://github.com/atharvnaik1/ipaship-app-reviewer/issues/85	make app working with nvidia api key
0	github	28.6	-	OPEN_ISSUE	https://github.com/mrveiss/AutoBot-AI/issues/6934	[BOUNTY]
0	github	57.9	-	OPEN_ISSUE	https://github.com/relayhop/sn-monetization-runtime/issues/2	[radar] SN open bounty 2026-05-03T14:16
0	github	61.2	-	OPEN_ISSUE	https://github.com/relayhop/sn-monetization-runtime/issues/1	[radar] SN open bounty 2026-05-03T10:59
0	github	69.7	-	OPEN_ISSUE	https://github.com/moorcheh-ai/memanto/issues/37	[BOUNTY $100] 🐜 Best-in-Class Integration: CrewAI + Memanto Agentic Memory
