# score	source	age_h	payout_hint	tags	url	title
4	sn/bitcoin	14.9	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1491032	Trezor may be getting miniscript support?
3	github	58.5	00 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/Novachron-Pay/stellar-micro-streams/issues/3	[Frontend] Animate active stream balances in real-time
2	github	59.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/Lumina-Yield/soroban-vault-protocol/issues/2	[Frontend] Connect Freighter Wallet and Fetch User Balance
2	github	1.3	-	OPEN_ISSUE	https://github.com/SecureBananaLabs/bug-bounty/issues/1	Implement Secure Payment Gateway and Payment Service
2	github	7.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/43	[radar] SN open bounty 2026-05-16T10:46
2	github	26.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/tenstorrent/tt-metal/issues/44507	[Bounty $3k] Optimise exp2 fp32/bf16
0	github	67.6	-	OPEN_ISSUE	https://github.com/RBKunnela/paybot-sdk/issues/3	🤝 Founding Contributors — Join the open agent payment protocol
0	github	15.8	-	OPEN_ISSUE	https://github.com/yeheskieltame/claudelance/issues/148	feat(web): <WalletButton /> Privy+MiniPay unified (B51)
0	github	15.8	-	OPEN_ISSUE	https://github.com/yeheskieltame/claudelance/issues/147	feat(web): /post multi-step poster form (B50)
0	github	15.8	-	OPEN_ISSUE	https://github.com/yeheskieltame/claudelance/issues/146	feat(web): /bounty/[id] detail page (claim/submit/pick) (B49)
0	github	15.8	-	OPEN_ISSUE	https://github.com/yeheskieltame/claudelance/issues/145	feat(web): /bounties feed page (B48)
0	github	15.8	-	OPEN_ISSUE	https://github.com/yeheskieltame/claudelance/issues/144	feat(web): / landing page redesign (B47)
0	github	15.8	-	OPEN_ISSUE	https://github.com/yeheskieltame/claudelance/issues/139	feat(web): PWA manifest + favicon set + install banner (B42)
0	github	15.8	-	OPEN_ISSUE	https://github.com/yeheskieltame/claudelance/issues/138	feat(web): modern fintech design tokens (B41)
0	github	15.8	-	OPEN_ISSUE	https://github.com/yeheskieltame/claudelance/issues/137	feat(web): mobile-first responsive shell (B40)
0	github	15.8	-	OPEN_ISSUE	https://github.com/yeheskieltame/claudelance/issues/136	feat(web): unified wagmi+Privy+MiniPay connector (B39)
0	github	34.1	-	OPEN_ISSUE	https://github.com/BAWES-Universe/studenthub-staff/issues/33	[UPGRADE] Replace ng5-slider with @angular-slider/ngx-slider
0	github	34.1	-	OPEN_ISSUE	https://github.com/BAWES-Universe/studenthub-staff/issues/32	[UPGRADE] Replace angular-instantsearch (deprecated) with instantsearch.js + algoliasearch v5
0	github	34.1	-	OPEN_ISSUE	https://github.com/BAWES-Universe/studenthub-staff/issues/31	[UPGRADE] Replace moment.js with date-fns v3
