# score	source	age_h	payout_hint	tags	url	title
6	sn/bitcoin	2.4	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1527734	Sunday Survey: What were you before you became a Bitcoin maximalist?
4	github	0.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1522	fix(ts): clean up lifecycle signal listeners
4	github	1.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1520	Fix: Ambiguity Guard bypassed by common auxiliary verbs (is/are/was/were)
3	github	70.9	00 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/Agora-Events/agora/issues/1018	Mobile: Local Currency Rate Converter and Price Display
3	github	1.9	$50	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/527	[Bounty] La función suma() resta en vez de sumar
3	github	3.4	$50	OPEN_ISSUE	https://github.com/demetriodiazdeleon-pixel/morriganprueba/issues/1	La función suma() resta en vez de sumar
3	github	3.7	$150	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1362	[BUG] JWT Algorithm Confusion (RS256→HS256 Downgrade) $150
3	github	3.7	$150	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1361	[BUG] Race Condition in /tmp File Handling (TOCTOU) $150
3	github	3.7	$150	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1360	[BUG] AWS IAM Privilege Escalation via PassRole + EC2 $150
3	github	3.7	$180	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1359	[BUG] Reentrancy via ERC-777 Callback in Withdraw Function $180
3	github	3.7	$200	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1358	[BUG] Bleichenbacher Oracle in RSA-OAEP Decryption $200
3	github	3.8	$150	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1357	[BUG] WebSocket CSRF → Cross-Origin Data Exfiltration $150
3	github	3.8	$120	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1356	[BUG] gRPC Reflection Enabled → Service Enumeration $120
3	github	3.8	$150	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1355	[BUG] DNS Zone Transfer Enabled → Internal Network Mapping $150
3	github	3.8	$120	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1354	[BUG] Clickjacking via X-Frame-Options Missing → Crypto Withdraw $120
3	github	3.8	$150	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1353	[BUG] TOTP Secret Leaked via QR Code in Logs $150
3	github	3.8	$180	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1352	[BUG] Bluetooth Classic BR/EDR Pairing Bypass $180
2	github	23.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/Jolah1/bitpilot/issues/77	Money Basics: 0 of 8 missions have a hands-on step
2	github	19.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/Savitura/crowdpay/issues/453	Real-Time Contribution Streaming: Horizon SSE Fan-out, WebSocket Push & Consistent Campaign Total State
2	github	19.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/Savitura/Fluxa/issues/29	Pluggable Signing Interface, AWS KMS Adapter & Threshold Signing Policy Engine
2	github	46.4	-	OPEN_ISSUE,LOW_COMP	https://github.com/portdeveloper/nad-agent/issues/22	Add ERC-20 token balance reads
1	github	42.8	5 usdc	OPEN_ISSUE	https://github.com/EF-CHAIN/SendAm/issues/44	Tests for the payment-intent parser
0	github	40.0	-	OPEN_ISSUE	https://github.com/Stellar-Grants/Stellar-Swap/issues/50	bug: pathPaymentStrictReceive with empty path fails for non-direct asset pairs
0	github	40.3	-	OPEN_ISSUE	https://github.com/Stellar-Grants/Stellar-Swap/issues/39	feat: Add pre-operation balance validation before Stellar transactions
0	github	41.7	-	OPEN_ISSUE	https://github.com/iKa-h/iKash-frontend/issues/79	[IKSH-23] Implement Market Snapshot With Live USDC Price
0	github	41.7	-	OPEN_ISSUE	https://github.com/iKa-h/iKash-frontend/issues/78	[IKSH-22] Implement Active Orders Dashboard UI Using Temporary Mock Data
0	github	41.7	-	OPEN_ISSUE	https://github.com/iKa-h/iKash-frontend/issues/77	[IKSH-21] Adapt Wallet Balance and Assets Section to New Dashboard Design
