# score	source	age_h	payout_hint	tags	url	title
7	sn/bitcoin	0.9	000 sats	OPEN_NEED,LOW_COMP	https://stacker.news/items/1528800	BTC vote: Do you support the Senate version of the CLARITY Act?
4	github	2.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/Nodal-stellar/Nodal-AI/issues/265	feat: add path_payment example script to scripts/examples/
4	github	1.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1546	fix(okf): preserve literal entry delimiters during round trips
4	github	1.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1544	fix: prevent API key corruption + add missing session validation (#770)
4	github	1.9	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1543	fix: prevent API key corruption + add missing session validation (#770)
4	github	2.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1541	fix(connect): clean managed hooks and permissions
4	github	2.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1540	fix(okf): preserve literal entry delimiters during round trips
4	github	3.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1539	fix(app): decouple conflict detection prompt from embedded query to prevent context overflow
3	github	21.5	000001 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/zendvolabs/zendvo/issues/307	Task 14: Enforce a minimum deposit amount on gifts and savings to stop the contract's storage from being spammed.
2	github	59.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/Jolah1/bitpilot/issues/77	Money Basics: 0 of 8 missions have a hands-on step
2	github	5.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/davz7/MananaSeguro/issues/81	Issue 1 — Clean up unused-variable warnings in contract tests
2	github	27.9	-	OPEN_ISSUE,LOW_COMP	https://github.com/zendvolabs/zendvo/issues/298	Task 07: Design the savings data model that tracks each user's principal separately from their earned yield.
2	github	55.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/Savitura/crowdpay/issues/453	Real-Time Contribution Streaming: Horizon SSE Fan-out, WebSocket Push & Consistent Campaign Total State
2	github	55.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/Savitura/Fluxa/issues/29	Pluggable Signing Interface, AWS KMS Adapter & Threshold Signing Policy Engine
2	github	3.9	-	OPEN_ISSUE	https://github.com/Ikalus1988/MisakaNet/issues/535	[Lesson][Bounty] Submit a debugging lesson from your own experience
2	github	6.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1538	fix(app): preserve provenance in update_memory() to prevent metadata overwrite
1	github	8.3	$120	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1425	[BUG] S3 Bucket Misconfiguration → Mass Data Leak $120
1	github	8.3	$180	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1424	[BUG] Hardcoded AWS Keys in Public Artifact → Cloud Takeover $180
1	github	8.3	$200	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1423	[BUG] HTTP/2 Downgrade → Request Smuggling $200
1	github	8.3	$150	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/ai-research/issues/1422	[BUG] Second-Order SQL Injection via Stored XSS Data $150
0	github	21.3	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/311	Task 18: Add a mechanism for the admin to collect accumulated platform fees into a treasury wallet.
0	github	27.0	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/305	Task 13: Cap how far in the future a gift's unlock time can be set, so funds can never be permanently trapped.
0	github	27.0	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/304	Task 12: Let users claim just their accumulated yield without touching their principal savings.
0	github	27.8	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/301	Task 10: Scaffold a wrapper interface that will route idle savings into external yield protocols like Blend or an AMM.
0	github	27.9	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/300	Task 09: Build the savings withdrawal function so users can pull their principal back out at any time.
0	github	28.0	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/295	Task 04: Implement the claim function so recipients can withdraw a gift only after its unlock time has passed.
0	github	28.0	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/294	Task 03: Create the deposit function that lets a sender atomically lock USDC into a new time-locked gift.
0	github	28.0	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/293	Task 02: Build the gift data model that stores sender, recipient, amount, and time-lock details on-chain
0	github	4.7	-	OPEN_ISSUE	https://github.com/SimsChad12/go-redis/issues/1	🎯 Fix State Inconsistency in `Pipeline.Exec()` Upon Context Cancellation
0	github	4.9	-	OPEN_ISSUE	https://github.com/Scottcjn/rustchain-bounties/issues/16275	[BOUNTY: 2-4 RTC] Join the Discord + real participation (not just a join)
0	github	7.3	-	OPEN_ISSUE	https://github.com/MariaThomasxt0/gocron/issues/1	🎯 Fix Deadlock on Concurrent Job Removal and Rescheduling
