# score	source	age_h	payout_hint	tags	url	title
4	sn/tech	12.9	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1542722	Signal app on registration without a phone number. But what form will it take?
4	github	0.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/Stellar-VaultLink/invofi-contracts/issues/86	Validate currency symbols in register_currency
4	github	0.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/Bigg770/soroban-defi-analytics/issues/4	[FEAT] Implement CSV export functionality for historical pool TVL data
4	github	1.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/278	[radar] SN open bounty 2026-08-08T07:08
4	github	1.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/277	[radar] SN open bounty 2026-08-08T07:08
4	github	3.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/276	[radar] SN open bounty 2026-08-08T05:51
3	github	18.1	24 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/Femology/pulsepay/issues/1	feat(contract): implement multi-token support for EURC and native XLM streams
2	github	5.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/Stellar-VaultLink/invofi/issues/128	Settings: default display currency preference (XLM/USDC)
2	github	5.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/Stellar-VaultLink/invofi/issues/123	Centralize XLM/USDC amount formatting into one shared util
2	github	22.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/poteto0/endor.mbt/issues/105	types/ChainId: CAIP-2 (eip155:8453) との相互変換
2	github	64.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/stellar-gasless-net/gasless-relayer-dashboard/issues/38	feat: Paymaster SAC token selector dropdown
2	github	64.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/stellar-gasless-net/gasless-relayer-dashboard/issues/18	feat: Paymaster SAC token selector dropdown
2	github	64.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/stellar-gasless-net/soroban-gasless-contracts/issues/1	feat: implement TokenPaymaster for USDC gas payments
2	github	71.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/Far-Beyond-Pulsar/Solid3D/issues/27	USDZ: referenced textures are never extracted from the archive — texture-bearing models load textureless
2	github	4.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/jflournoy/for-funsies/issues/14	[Bounty: 3 GSD] Make the site generative — it should change every time it builds
2	github	4.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/275	[radar] SN open bounty 2026-08-08T04:17
2	github	6.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/274	[radar] SN open bounty 2026-08-08T02:13
2	github	9.2	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/273	[radar] SN open bounty 2026-08-07T23:42
2	github	9.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/sourcey/startup-credits/issues/259	Paid bounty: add a new vendor offer to the catalog
2	github	10.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/272	[radar] SN open bounty 2026-08-07T22:49
2	github	10.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/jflournoy/for-funsies/issues/9	[Bounty: 2 GSD] Make merged work visible on the published Pages site
2	github	11.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/jflournoy/for-funsies/issues/7	[Proposal] Add --summary flag for contributor totals
2	github	11.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/jflournoy/for-funsies/issues/6	[Proposal] Add --validate flag to the ledger script
2	github	11.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/jflournoy/for-funsies/issues/5	[Proposal] Add --format json output to the ledger script
2	github	11.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/271	[radar] SN open bounty 2026-08-07T21:50
