# score	source	age_h	payout_hint	tags	url	title
8	sn/bitcoin	0.7	5000sats	BOUNTY,LOW_COMP	https://stacker.news/items/1549793	⚡Best tips for running a profitable lighting node?⚡
7	sn/bitcoin	3.4	$100	OPEN_NEED,LOW_COMP	https://stacker.news/items/1549719	Bitcoin Culture Is Not Dead. It Just Stopped Being One Culture
4	sn/bitcoin	6.2	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1549663	BIP-118 vs. BIP-448: How Much Should a Bitcoin Signature Remember?
4	sn/tech	15.3	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1549509	Text Slide Maker tool (looking for user feedback / use on Laptop)
4	sn/tech	21.6	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1549358	TryHackMe's HackerHolidays 2026 Event - Day 05 - Beach Bar [writeup]
2	sn/bitcoin	19.9	-	OPEN_NEED	https://stacker.news/items/1549399	Sunday Survey: Did we bottom?
2	github	5.2	-	OPEN_ISSUE,LOW_COMP	https://github.com/anchor-tools/stellar-toml-lint/issues/4	Flag display_decimals on the native asset
2	github	5.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/LuminaRail/luminarail-frontend/issues/21	[Frontend] Add CSV and JSON export functionality for user transaction history
2	github	24.4	-	OPEN_ISSUE,LOW_COMP	https://github.com/Savitura/Fluxa/issues/67	Platform Fee Wallet Sweeper, Reserve Calculator & Liquidity Dashboard
2	github	46.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/konfirm-HQ/konfirm-backend/issues/5	x402 facilitator: support additional SEP-41 assets beyond USDC
2	github	62.0	-	OPEN_ISSUE,LOW_COMP	https://github.com/MJ-RWA/ZeroWage/issues/59	[documentation] Translate README to Spanish
2	github	62.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/MJ-RWA/ZeroWage/issues/44	[enhancement] Add CSV export for proof explorer
0	github	24.4	-	OPEN_ISSUE	https://github.com/Savitura/Fluxa/issues/68	Stellar Anchor Integration: SEP-6 Deposit/Withdrawal, SEP-10 Web Auth & SEP-24 Interactive Flow
0	github	56.3	-	OPEN_ISSUE	https://github.com/ACTA-Team/news-acta/issues/42	Verifiable author identity with did:stellar and ACTA credentials
