# score	source	age_h	payout_hint	tags	url	title
6	sn/bitcoin	1.5	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1557520	Do open source grants distort Bitcoin?
4	github	2.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/relayhop/sn-monetization-runtime/issues/743	[radar] SN open bounty 2026-08-29T12:38
2	github	4.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergepay/mergepay-api/issues/401	Add unit tests for group expense split calculation helpers
2	github	10.9	-	OPEN_ISSUE,LOW_COMP	https://github.com/mergepay/mergepay-web/issues/314	Add automated test coverage for transaction history filtering and sorting hooks
2	github	66.6	-	OPEN_ISSUE,LOW_COMP	https://github.com/MetroLogic/fluxapay-backend/issues/4	Add .env.example with required environment variables
1	github	27.0	00 USDC	OPEN_ISSUE	https://github.com/sonoflawal-1/Stellar-agent/issues/453	sdk: Add TypeScript helper function formatUSDC(amount: bigint): string
1	github	31.1	10 USDC	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/185	[Bug] strix_runs/ scan artifacts committed to main
1	github	31.1	10 USDC	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/185	[Bug] strix_runs/ scan artifacts committed to main
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/192	[Bug] FileUpload input has duplicate id and aria-describedby attributes
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/189	[Docs] README Development section lists stale test file set
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/188	[Bug] .nvmrc says 20 but CI pins Node 20.19.5
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/186	[Bug] upload_file_fixed.tsx is orphan dead code with a divergent CorrectedUpload API
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/184	[Bug] Repo root littered with SOLUTION_ISSUE_*.md / AGENTCLAW_* docs
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/183	[Bug] npm test does not run double_submit_race.test.js or Python fix.py tests
0	github	20.7	-	OPEN_ISSUE	https://github.com/relayhop/sn-monetization-runtime/issues/733	[radar] SN open bounty 2026-08-28T18:35
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/194	[Bug] useFileUpload still surfaces raw fetch errors to users
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/193	[Bug] components/file_upload.test.js still targets FileUpload.tsx inline FormData after hook extraction
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/192	[Bug] FileUpload input has duplicate id and aria-describedby attributes
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/191	[Bug] FileUpload.tsx state type SelectedFile[] but assigns bare File[]
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/190	[Bug] No react/typescript dependencies despite .tsx sources and tsconfig
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/189	[Docs] README Development section lists stale test file set
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/187	[Bug] Login.tsx has no AbortController — unmount mid-upload still setStates
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/186	[Bug] upload_file_fixed.tsx is orphan dead code with a divergent CorrectedUpload API
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/183	[Bug] npm test does not run double_submit_race.test.js or Python fix.py tests
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/182	[Bug] Shared validation contract disagrees with lib/useFileUpload.ts
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/181	[Bug] login_upload.test.js expects useFileUpload + 5MB guard that Login.tsx does not implement
0	github	31.1	-	OPEN_ISSUE	https://github.com/Hazyshades/Sendly-Test-Repo/issues/180	[Bug] double_submit_race.test.js asserts uploadingRef but code uses uploadInFlightRef
