# score	source	age_h	payout_hint	tags	url	title
7	sn/bitcoin	0.1	000 BTC	OPEN_NEED,LOW_COMP	https://stacker.news/items/1565577	LIQUID NETWORK UPDATE: INCIDENT REPORT
5	sn/bitcoin	4.0	$3.99	OPEN_NEED	https://stacker.news/items/1565359	Review - "What You Need To Know About Bitcoins" (First Bitcoin Book?)
5	github	2.4	$850	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/1233	[Bounty] [Bounty: $850] Hitbox Collision Dropout during Rapid Contraption Kinematic Telep
5	github	2.4	$500	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/1234	[Bounty] [Bounty: $500] Custom Block Definition Fails Schema Validation in Bedrock 1.26.3
5	github	2.4	$650	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/1232	[Bounty] [Bounty: $650] Optimize Dynamic Voxel Display Entities to Prevent Massive Draw C
5	github	2.4	$400	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/1231	[Bounty] [Bounty: $400] Script API Custom Slash Command Throws Unhandled Startup Exceptio
5	github	2.4	$600	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/1229	[Bounty] [Bounty: $600] Write Node.js Script to Programmatically Generate Ruby Toolset Te
5	github	2.4	$550	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/1230	[Bounty] [Bounty: $550] Build Script Deploys Unexpanded Templates Directly to Com.mojang
5	github	2.4	$350	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/1227	[Bounty] [Bounty: $350] CI Build Pipeline Fails: Missing Block Families after Cleaning _t
5	github	2.4	$450	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/1228	[Bounty] [Bounty: $450] Custom Humanoid NPC Texture Scrambled / Left Arm & Leg Mirrored I
4	github	3.4	-	OPEN_ISSUE,LOW_COMP	https://github.com/Sub-Rosa-Issue/sub-rosa-issue/issues/310	test(web): cover shared display formatter boundaries
