# id	sub	bounty	ncom	ageH	tags	title
1485317	art	0	0	0.2	FRESH,HOT	Direct Current - Lightning Paywalls ✅ (maybe?)
1485174	bitcoin	0	5	3.7	HOT	The Fabric of Desires - Nick Szabo (2026)
1485097	bitcoin	0	6	5.7	HOT	Found an unarchived Bitcoin Logo by Satoshi Nakamoto on the Bitcoin Sourceforge
1485268	math	0	1	1.3	FRESH	Zinc+: SNARKs for Polynomial Rings - Nethermind Research
1484902	bitcoin	0	2	18.3	HOT	nucula: Cashu ecash wallet for ESP32-C6 with NFC tap-to-pay
1484762	Travel	0	28	22.9	HOT	Hide a message in an emoji
1485293	meta	0	6	0.9	FRESH	Ratio of lurkers to contributors to creators
1485290	meta	0	0	0.9	FRESH	What are you working on this week?
1485237	bitcoin	0	0	2.2		Introducing Alby Hub Skill — agentic control for Alby Hub
1485202	bitcoin	0	1	3.0		Bitcoin holders: You're overpaying tax without lot selection.
1485079	bitcoin	0	15	6.4		Stop demanding more fiat from banks and their scammers
1484953	bitcoin	0	7	15.8		Law of Code #200: Money Transmission & Developer Liability
1484790	bitcoin	0	1	22.4		How to decode an arcade address (and a bitcoin address) - James Scaur
1485092	meta	0	0	5.9		This Day on SN: May 6
1484867	security	0	5	19.2		Grok's crypto wallet was just exploited by a tweet sent in morse code
1484882	tech	0	0	18.8		coco - A modular, TypeScript-first toolkit for building Cashu wallets and apps
