# id	sub	bounty	ncom	ageH	tags	title
1490735	Geyser_community	0	4	1.4	FRESH	Our new Bitcoin Education app's Geyser campaign is live! ⚡️🧑‍🎓
1490345	bitcoin	0	25	19.8	HOT	Walked around a shopping area... Talked to square merchants & paid in bitcoin
1490554	bitcoin	0	0	6.8	HOT	Latest Strikes S03E19 - May 4th-10th 2026
1490456	bitcoin	0	5	15.2	HOT	Rusty Russell: I'm leaving Blockstream to try to start up CenturyMetadata.org
1490380	bitcoin	0	21	18.2	HOT	I built an open-source Bitcoin loan calculator. Looking for feedback.
1490572	jobs	0	2	6.3	JOB	DevOps Engineer
1490578	bitcoin	0	0	5.8		CVE-2024-52911, UTXO set P2P sharing - Bitcoin Optech Newsletter #405
1490529	bitcoin	0	1	8.5		Credible Exit and The Law of Conservation of Blockspace
1490643	events	0	0	3.5		256 Foundation Telehash MAY 19, 1:00 – 7:30 PM CDT in AUSTIN
1490335	bitcoin	0	1	20.3		How To Opt Out of the Digital Prison - Hakeem Anwar | Ep. 137
1490563	meta	0	0	6.5		This Day on SN: May 15
1490429	AI	0	8	16.5		Convenience killed Amazon
