# id	sub	bounty	ncom	ageH	tags	title
1497058	events	0	1	0.3	FRESH	TABConf 8 will be the last TABConf
1496894	bitcoin	0	7	6.2	HOT	Bitcoin is a form of power; the bitcoin is money meme must die
1496857	bitcoin	0	0	6.9	HOT	Oliver Gugger and 0xB10C - Bitcoin Optech Newsletter #406 Recap Podcast
1496660	bitcoin	0	8	11.5	HOT	Brink's 2025 Annual Report
1496782	bitcoin	0	1	9.1	HOT	Mining Unit - Localhost Research
1496677	bitcoin	0	10	11.2	HOT	[Cashu Update] The operator has no access to the private keys of the mint.
1496448	bitcoin	0	7	24.0	HOT	Orange Dev Network: First Public Map of Who’s Actually Building Bitcoin
1496474	tech	0	0	23.2	HOT	Revealed: Israeli Tech Exposes Users of Musk's Starlink Satellite-based Internet
1496859	math	0	11	6.9		What actually makes a address be a burn address?
1496619	meta	0	24	12.5		Onchain Zaps in Ditto: Bitcoin Tipping Without Lightning - Alex Gleason
1496802	bitcoin	0	5	8.7		Blitz Wallet update adds BTCMaps
1496975	bitcoin	0	1	3.2		simplepool - LayerTwo-Labs
1496760	bitcoin	0	0	9.4		P2P sats v1.0.0 — alerts are live
1496836	bitcoin	0	1	7.6		Manna Wallet + Branta Guardrails: Bitcoin Payments Now Show Merchant Details
1496690	bitcoin	0	3	11.1		Silent Payments: A nice Bitcoin privacy setup
1496619	meta	0	24	12.5		Onchain Zaps in Ditto: Bitcoin Tipping Without Lightning - Alex Gleason
