# id	sub	bounty	ncom	ageH	tags	title
1498777	AI	0	0	1.1	FRESH,HOT	Lexe CLI: a self-custodial, always-online Lightning node in three commands
1498671	bitcoin	0	3	4.3	HOT	Brink's Bitcoin Core Fuzz Testing Research Interns: Dongjia Zhang and Stratos
1498479	bitcoin	0	2	12.1	HOT	Stablecoins are now available on Cash App
1498269	bitcoin	0	6	23.1	HOT	Built a multiplayer voxel world fully on-chain on Bitcoin
1498664	bitcoin	0	0	4.5		📣 AMA Announcement: HodlTarantula - THURS, 04 JUNE - 10AM
1498637	bitcoin	0	0	5.6		BIP450: Formosa—Seed Encoding per Themed Mnemonic Stories by Yuri-SVB
1498565	bitcoin	0	1	8.2		CLN DoS vulnerability, CoreDev meeting - Bitcoin Optech Newsletter #407
1498620	bitcoin	0	5	6.5		Hestia - Heating that pays for itself.
1498498	bitcoin	0	0	10.4		Would transaction labels make bitcoin bookkeeping & tax reporting less painful?
1498699	bitcoin	0	0	3.6		blackbox_node: Off-grid mesh node w/ local AI TAK and Bitcoin, Cashu
1498328	bitcoin	0	1	20.6		Dog Park - Privacy in Bark
1498663	tech	0	7	4.5		Tulip mania: when a single flower was worth more than a house (2025)
