# id	sub	bounty	ncom	ageH	tags	title
1499235	events	0	0	0.5	FRESH	BTC vote: Do you support the U.S. pausing arms sales to Taiwan?
1498777	AI	0	10	19.3	HOT	Lexe CLI: a self-custodial, always-online Lightning node in three commands
1498671	bitcoin	0	3	22.5	HOT	Brink's Bitcoin Core Fuzz Testing Research Interns: Dongjia Zhang and Stratos
1498976	meta	0	7	13.8	HOT	Stacker News Zine is for you! with issue #59
1499147	AI	0	0	5.6		Bitcoin always worked. Bridging it to the real world didn't. So I built Bringin.
1498908	bitcoin	0	34	16.5		Running a cashu mint in a TEE
1498919	bitcoin	0	7	16.2		Human Person in the Time of Artificial Intelligence | SNL #226
1498664	bitcoin	0	0	22.7		📣 AMA Announcement: HodlTarantula - THURS, 04 JUNE - 10AM
1498637	bitcoin	0	0	23.8		BIP450: Formosa—Seed Encoding per Themed Mnemonic Stories by Yuri-SVB
1498699	bitcoin	0	0	21.8		blackbox_node: Off-grid mesh node w/ local AI TAK and Bitcoin, Cashu
1498663	tech	0	7	22.7		Tulip mania: when a single flower was worth more than a house (2025)
