# id	sub	bounty	ncom	ageH	tags	title
1505781	events	0	0	2.0	FRESH	bitcoin vote: Is ETF good for Bitcoin?
1505684	bitcoin	0	5	11.2	HOT	Sign up, Choose a faction, Earn real bitcoin ⚡️⚡️
1505322	tech	0	77	21.1	HOT	We just launched the Bitcoin Ark on mainnet - Second AMA
1505462	bitcoin	0	7	19.6	HOT	(L)402 is a literal failure code, btw.
1505224	DIY	0	3	23.9	HOT	Canaan Avalon Nano3S -A3197S ASIC: reverse engineering report - CryptoIceMLH
1505312	news	0	0	21.3	HOT	Bark now live on bitcoin mainnet - Steven Roose
1505322	tech	0	77	21.1	HOT	We just launched the Bitcoin Ark on mainnet - Second AMA
1505416	AI	0	5	20.1	HOT	My Takeaway of WWDC on Apples AI Strategy
1505677	bitcoin	0	4	11.5		Money is language (2022)
1505664	lol	0	3	11.9		Botanix announces failure / bites the dust
1505419	bitcoin	0	8	20.1		How to instantly buy the Bitcoin dip non-KYC?
1505233	bitcoin	0	1	23.7		Casascius Explorer | Wicked Smart Bitcoin
1505707	news	0	0	9.1		Austin company's drone boat rescued crew of downed U.S. helicopter near Hormuz
1505308	tech	0	11	21.4		Suggestions for Android Devices?
1505531	AI	0	0	17.7		Apple finally got rid of my biggest password headache
