# id	sub	bounty	ncom	ageH	tags	title
1513351	lol	0	7	0.8	FRESH	Lawyer wants Satoshi’s anonymous ‘finder’ to drop the mask
1512794	bitcoin	0	33	22.5	HOT	Why BIP-110 Matters More Than Ever
1513175	bitcoin	0	4	12.0	HOT	Bagholders and Bitcoiners: Strategy's Dilution as a Service (FT, Craig Coben)
1513293	bitcoin	0	2	3.5		Phishing Attempt: The "Post-Quantum" Snail Mail Scam targeting Coldcards 🐌📦
1513262	events	0	0	5.2		Map of BitDevs Meetups Around The World
1513227	bitcoin	0	2	9.1		State of the transaction privacy work in Bitcoin - delving
1513166	bitcoin	0	2	12.5		CoinJoin.nl
1513102	bitcoin	0	9	15.1		craigraw from Sparrow plea for help
1512766	gaming	0	3	23.1		ChainDuel V2: Changing the Equation
1512886	bitcoin	0	3	20.6		The Blockstream Mining Note Accusations - BitMex Research
1512849	bitcoin	0	1	21.2		Inside P2Pool v2 - Raunak (R27)
1512922	bitcoin	0	0	20.0		Bitcoin Tech Talk #506: Autonomous Cars, Quebec, Failed Democracy and more!
1513021	tech	0	2	17.4		Toyota Won’t Replace Every Recalled Tundra V6, and Some Owners Are Fed Up
1513010	AI	0	0	17.8		"Cobots" now become the next layer of tech-caused job loss, the future is here
