# id	sub	bounty	ncom	ageH	tags	title
1514564	Travel	0	6	2.0	FRESH,HOT	The Situation in Kramatorsk, Ukraine (Part 2)
1514120	bitcoin	0	11	21.3	HOT	Forensic Analysis: Hal Finney Actually Missed the Bitcoin Launch
1514481	bitcoin	0	6	8.3	HOT	Most of the Bitcoin consensus fight is over one computable number
1514312	bitcoin	0	26	15.9	HOT	"This Square terminal doesn't."
1514099	bitcoin	0	6	21.8	HOT	BIP110 Fork Simulator: Can BIP110 Lead to Chain Split?
1514080	bitcoin	0	6	22.2	HOT	The Julian Assange Film Streamers Wouldn’t Touch Turns To Bitcoin
1514169	AI	0	8	19.8	HOT	OpenAI designed and built their first AI chip: Jalapeño.
1514401	bitcoin	0	3	13.2		TechLead is back and he capitulated and sold his stack! 😆
1514180	bitcoin	0	0	19.6		Bitcoin Mining Terminal | Hashlabs
1514264	bitcoin	0	0	16.7		Celebrating the Builders of the Bitcoin++ Open Source Edition Hackathon
1514136	tech	0	8	21.0		⚡️ EarnVPN: A VPN that pays you Bitcoin ⚡️
1514202	bitcoin	0	0	18.7		Local Signet Stack for Sparrow Wallet - Bitcoin Ubuntu
1514123	meta	0	12	21.2		What are you working on this week?
1514136	tech	0	8	21.0		⚡️ EarnVPN: A VPN that pays you Bitcoin ⚡️
