# id	sub	bounty	ncom	ageH	tags	title
1516439	the_stacker_muse	0	2	1.1	FRESH,HOT	[HM] Forgotten Satoshi Emails Discovered with Nicholas Bohm - The Satoshi Times
1516206	bitcoin	0	3	15.9	HOT	L.P.D.: Libertarian Police Department (2014)
1516430	tech	0	1	1.6	FRESH	Earns sats for forwarding Bluetooth LE packets from your Umbrel. Now live.
1516210	bitcoin	0	9	15.6	HOT	PlebTV v3: Impress
1516430	tech	0	1	1.6	FRESH	Earns sats for forwarding Bluetooth LE packets from your Umbrel. Now live.
1516402	bitcoin	0	2	3.3		Sunday Survey: Has Trump been good for Bitcoin?
1516333	bitcoin	0	2	5.8		The Philosophy Of Bitcoin, by Alvaro D. Maria
1516276	bitcoin	0	5	9.8		Bitcoins 1-year-holding-period-tax-loop in Germany is about to end
1516193	meta	0	6	17.3		SN Saturday Newsletter 6/27/26
1516341	tech	0	1	5.7		PlayStation is removing over 500 movies from UK customers' accounts no refunds
1515951	tech	0	0	23.8		An Interview with Figma CEO Dylan Field About Design and AI - Stratechary post
