# id	sub	bounty	ncom	ageH	tags	title
1520658	art	0	0	1.3	FRESH	Subscribe to the Bitcoin Art Magazine Newsletter ⚡
1520612	bitcoin	0	3	5.2	HOT	On the Lack of Replay Protection
1520572	bitcoin	0	1	6.4	HOT	Nordic Node #2 (Six Weeks Overdue?!): Lambs, Bitcoin Adoption, and Criminals
1520525	bitcoin	0	8	7.8		Does Wallet Of Satoshi Have FDIC Insurance?
1520526	bitcoin	0	3	7.7		Cairn — the Bitcoin homescreen
1520358	bitcoin	0	4	13.4		Ledger announces support for two NIST post quantum standards
1520515	bitcoin	0	0	8.1		AOC Will Send Bitcoin To $1M — Here's The Math | Dave Weisberger
1520169	bitcoin	0	10	19.8		Why isn't more of the BTC space using Elixir/OTP?
1520403	bitcoin	0	2	12.6		Hope With Bitcoin,
1520296	bitcoin	0	8	14.5		Trustless: "Non custodial" Bitcoin-only mobile wallet.
1520265	bitcoin	0	0	15.3		pricenode-attestation: Attestation for Bisq pricenode data - BcnBitcoinOnly
1520589	meta	0	7	5.9		Where is DarthCoin?
1520483	tech	0	3	9.4		US home battery installations hit record high on rising electricity costs
