# id	sub	bounty	ncom	ageH	tags	title
1524157	security	0	33	0.5	FRESH,HOT	I'm Luke de Wolf, Author of Defending Bitcoin, AMA
1524113	bitcoin	0	2	1.9	FRESH	Venezuelans Turn to Bitcoin to Fund Earthquake Relief
1523710	bitcoin	0	6	19.2	HOT	ScamouraiWallet/POST_MORTEM.md - nopara73
1523730	bitcoin	0	29	18.4	HOT	Chainalysis is built into Spark
1523810	gaming	0	6	15.2	HOT	What is Satoshi's Favor? And how can I win 21,000 sats?
1524016	bitcoin	0	1	3.9	HOT	How Satora Connects Bitcoin To Stablecoins Without Custodians
1523701	Geyser_community	0	4	19.6		Bitcoin Quest - New Features to try - Win 21,000 sats (multiple chances per day)
1524042	bitcoin	0	1	3.3		Who will be the heavyweight champion of large amounts of dollars?!?!
1523967	bitcoin	0	0	5.7		SuperScalar: an implementation report
1524022	bitcoin	0	1	3.7		How Bitcoin Transactions Get Confirmed on Braidpool - Bitshala
1523823	tech	0	4	14.6		I work on Bitcoin Quest every single day. We are looking for more team members
1523575	bitcoin	0	16	23.1		Knots knight Knut has knack for knucklehead knowledge
1523580	bitcoin	0	0	22.9		Tollbooth DPYC™ — MCP Monetization for Bitcoin Entrepreneurs
1523722	AI	0	6	18.9		Worldwide user stats of Bitcoin Quest
1523823	tech	0	4	14.6		I work on Bitcoin Quest every single day. We are looking for more team members
1523698	tech	0	1	19.7		Playa Mesh, Meet Reno: A Burning Mesh Partnership | Resilient comm across Nevada
