# id	sub	bounty	ncom	ageH	tags	title
1531498	tech	0	0	1.4	FRESH,HOT	The Tor Project Sunsetting Tor 0.4.8 – Please update to 0.4.9 by September
1531428	bitcoin	0	0	4.1	HOT	Today in History - Bitcoin: The Trust Anchor in a Sea of Blockchains (2016)
1530684	bitcoin	0	33	23.9	HOT	I Went Looking at Paul Sztorc's eCash and Ended Up Rethinking Bitcoin
1531033	the_stacker_muse	0	15	17.7	HOT	The Proverbial Barber Orange Pill
1530818	bitcoin	0	33	21.2	HOT	Bitcoin Security Consortium Announcement
1530763	bitcoin	0	48	21.7	HOT	Michael / Schnitzel - Heatpunk, 256Foundation Engineer, OpenSource Maxi - AMA!
1530798	bitcoin	0	6	21.4	HOT	Introducing hledger-btc
1531455	meta	0	21	2.7	HOT	Bot & Slop we should mute
1531415	bitcoin	0	0	5.6		Bitcoin Consensus "is NOT Changed by Proof Of Node"
1531397	bitcoin	0	0	8.6		Btrust Announce First Batch of 2026 Event Grants: Supporting Bitcoin Devs Growth
1531290	news	0	1	10.8		Galaxy Launches Bitcoin Quantum Readiness Initiative
1531403	bitcoin	0	0	8.0		Bisq Release v1.10.4: Important update
1530718	bitcoin	0	5	22.6		🎙️ NEW EPISODE: Canada's Captured Government & the Fight for Alberta
1531454	meta	0	0	2.7		This Day on SN: July 24
1530918	AI	0	0	19.6		Behind the scenes at Nvidia's Engineering SuperLab
