# id	sub	bounty	ncom	ageH	tags	title
1534801	math	0	0	0.1	FRESH,HOT	Bitcoin Mempool Linearization - Mollakhani, Wuille, Guo
1534239	bitcoin	0	18	19.0	HOT	What’s the difference between a soft fork, a hard fork, and a chain split?
1534769	lol	0	1	0.6	FRESH	AMA request: Paul Storcz's dealer
1534541	DIY	0	0	8.6	HOT	m5stack fun diy project: plebwatch
1534285	bitcoin	0	15	17.8	HOT	Running more than one implementation for forking drama
1534241	bitcoin	0	1	18.9	HOT	Market Activated Soft Fork - Steve Barbour
1534047	bitcoin	0	0	23.4	HOT	Transaction rate-limiting
1534118	meta	0	11	22.1	HOT	Is it possible to schedule posts with a deposit on Stacker News?
1534680	bitcoin	0	1	3.5		TODAY: AMA with Nick Hansen, CEO of Luxor! 1PM CDT /1800 UTC
1534722	AI	0	0	2.0		Introducing l402.space — the Universal 402 Gateway for L402, x402 and MPP
1534561	bitcoin	0	2	6.3		Bitcoin Lightning payments for MedusaJS eCommerce via CLINK
1534577	bitcoin	0	0	5.5		Enabling Bitcoin Lightning Payments for Vendure eCommerce framework with CLINK
1534281	bitcoin	0	1	17.9		Bitaxe Hex Bitcoin Solo Miner (1300 Model)
1534205	bitcoin	0	0	20.0		El costo oculto de la soberanía: ¿Tu nodo es realmente tuyo?
1534514	meta	0	4	10.5		unintuitive hat & zap behavior
1534585	AI	0	0	5.3		Geopolitics, AI Concerns, & Tech's Summer Slump
1534444	tech	0	5	13.6		You Can Finally Trust All Your Money to X, the Everything App
