# id	sub	bounty	ncom	ageH	tags	title
1540008	bitcoin	0	11	6.4	HOT	ColdCard Entropy Bug: An Investigative History
1539991	the_stacker_muse	0	3	6.7	HOT	Bitcoin is my Dread Pirate Roberts
1540163	bitcoin	0	13	3.8	HOT	Cguida rebases Luke Dashjr's PoW change to Knots
1539912	bitcoin	0	39	8.9	HOT	Tails+Electrum as an alternative to a HWW as part of a 2-of-3 multisig?
1540033	security	0	14	6.1	HOT	Cold Card Retirement Attack?
1539812	bitcoin	0	9	12.0	HOT	Coldcard and the limits of “don't trust, verify”
1540132	bitcoin	0	1	4.6	HOT	Ian Coleman bip 39 website
1539875	bitcoin	0	3	9.5	HOT	Bitcoins Have No Physical Form: The Coldcard Heist (Money Stuff, Matt Levine)
1539838	bitcoin	0	19	10.5	HOT	Gigi Bringing the Wisdom
1539720	bitcoin	0	20	17.9	HOT	What are the attack vectors of rolling 100 dice?
1539646	news	0	3	19.9	HOT	1,596 BTC has been stolen from ~7300 addresses - Galaxy Digital
1539582	bitcoin	0	2	21.6	HOT	Maintainer of peerswap advises temporarily disabling peerswap...
1539645	meta	0	11	19.9	HOT	Long Awaited SNZ Issue #67 Unleashed! ⚡️⚡️⚡️⚡️⚡️
1540052	tech	0	14	5.7	HOT	FYI GitHub organization owners can see contributor's country and even IP
1540204	AI	0	1	3.0		Why Wall Street is Ignoring Big Tech's Debt
1539905	AI	0	3	9.0		Red teaming bitcoin projects
1540018	bitcoin	0	2	6.3		The Cypherpunk Manifesto is a philosophy!!
1539936	security	0	1	8.4		SeedSigner Wallet Simulator
1539573	bitcoin	0	5	21.8		Bitcoin Policy institute Coldcard bug explainer
