# id	sub	bounty	ncom	ageH	tags	title
1552000	meta	0	0	1.5	FRESH,HOT	"it does not spark joy"
1551914	bitcoin	0	11	4.5	HOT	Market for renting Fidelity Bonds · joinmarket-ng
1551592	bitcoin	0	21	19.5	HOT	Coinos NWC keys rotated
1551640	AI	0	1	18.3	HOT	One thing L402 can learn from x402
1551573	bitcoin	0	1	19.8	HOT	Bitcoin Dev Launchpad First Cohort: Alumni Outlook
1551476	bitcoin	0	9	22.4	HOT	We replaced our ledger with two functions - River
1551441	bitcoin	0	0	23.8	HOT	1k+ ETH in Phishing Attack After Using Tornado Cash’s Expired Official Domain
1551734	security	0	4	14.9		Atomiq, bitcoin alt swapper, shuts down following "sophisticated AI attacks"
1551820	bitcoin	0	2	11.2		Unlukey: a tool to  identify wallet addresses generated from weak seed phrases
1551564	AskSN	0	6	20.0		Bitcoin Survey 🤔⚡⚡
1551683	tech	0	2	16.6		satd (full Bitcoin node in Rust): Guided Code Tour
1551505	lol	0	2	21.4		COLDCARD Security Update: Seed Generation, Transaction Integrity, Data Isolation
1551824	lol	0	1	10.8		What else can you use to find subdomains?
1551683	tech	0	2	16.6		satd (full Bitcoin node in Rust): Guided Code Tour
1551673	tech	0	0	16.9		Watching TikTok and Instagram deactivates the cognitive control network: Study
1551496	AI	0	3	21.7		A Chinese AI robot just broke Usain Bolt’s 100m record.
