# id	sub	bounty	ncom	ageH	tags	title
1554137	AskSN	0	1	1.5	FRESH	Did You Know the person, who coined the term "Cypherpunk?"
1553642	DIY	0	4	19.5	HOT	Open source node editor for experimenting with covenant scripts
1553512	bitcoin	0	12	23.4	HOT	The Ark Protocol: VTXOs and the Virtual Transaction Tree
1553501	meta	0	8	23.6	HOT	An amAzing rate for SNZ #68! 🗞️🗞️🗞️ all 8 pages of F U N now available
1553874	bitcoin	0	0	7.8		How Tether's bitcoin mining plans in Uruguay unraveled
1553940	bitcoin	0	1	5.8		🎙️ NEW EPISODE: They Did to Your Body What They Did to Your Money
1553621	lol	0	0	20.2		Do You Even Crypto, Bro? Cryptocurrencies in Household Finance
1553541	bitcoin	0	1	22.3		How Tether's bitcoin mining plans in Uruguay unraveled
1553705	bitcoin	0	0	17.1		p2psats.app is down
1553640	bitcoin	0	0	19.5		Serfs of The Ledger
1553517	bitcoin	0	1	23.2		what would you call the shitcoin fork?
1553814	meta	0	0	9.9		This Day on SN: August 24
1553995	AI	0	5	4.7		How Much of the Internet Is Written With AI?
1553489	AI	0	1	24.0		At China's robot Olympics
