# id	sub	bounty	ncom	ageH	tags	title
1560302	AskSN	0	3	0.4	FRESH	It's working great, and there are active communities.
1560008	bitcoin	0	1	7.7	HOT	Mempool Developer Day #1
1559806	bitcoin	0	10	12.0	HOT	Are you still using robosats?
1559699	bitcoin	0	2	16.8	HOT	Quantum Secure Bitcoin Transaction created without a Hard Fork
1559606	bitcoin	0	1	23.0	HOT	For my inaugural OP_RETURN, I posted some seed words
1560171	bitcoin	0	2	4.2		What to do with BIP110 coins? Help ensure Luke stays away.
1560002	bitcoin	0	1	7.9		BIP448 Mercury Layer wallet on Mutinynet
1560101	bitcoin	0	2	6.3		Tutorial: Freedomia Non-KYC Reloadable Visa Card (online + tap to pay)
1559738	bitcoin	0	3	14.5		BIP110 Split & Swap Portal
1559712	bitcoin	0	1	15.9		Krackpot: World's worst lottery just got worse (Bitcoin Puzzle 71)
1559604	bitcoin	0	1	23.0		Connecting ASICs to Braidpool: When Hardware Fights Back - Priya Rani
1559628	bitcoin	0	0	22.2		Bitcoin Tech Talk #516: Burger Age, Killer Moms, Guilty Scapegoat, Travel Sports
1559591	bitcoin	0	3	23.8		app for contractor work
1559631	Memes	0	0	21.6		Frankie MacDonald says Bitcoin (again)
1560010	AI	0	0	7.7		1.5TB → 214GB, Tencents quantization method packs weights down to 1.25 bits
1559740	tech	0	1	14.4		DEFCON 34: ESP32 Counter Surveillance for Everyone by Cybertiger & Colonel Panic
