# id	sub	bounty	ncom	ageH	tags	title
1560370	security	0	0	1.3	FRESH	The Fountain of Youth is now on Github
1560008	bitcoin	0	1	10.4	HOT	Mempool Developer Day #1
1559806	bitcoin	0	10	14.7	HOT	Are you still using robosats?
1559699	bitcoin	0	2	19.5	HOT	Quantum Secure Bitcoin Transaction created without a Hard Fork
1560171	bitcoin	0	5	6.9		What to do with BIP110 coins? Help ensure Luke stays away.
1560302	AskSN	0	4	3.1		It's working great, and there are active communities.
1560002	bitcoin	0	1	10.5		BIP448 Mercury Layer wallet on Mutinynet
1560101	bitcoin	0	2	9.0		Tutorial: Freedomia Non-KYC Reloadable Visa Card (online + tap to pay)
1559738	bitcoin	0	3	17.2		BIP110 Split & Swap Portal
1559712	bitcoin	0	1	18.6		Krackpot: World's worst lottery just got worse (Bitcoin Puzzle 71)
1560010	AI	0	0	10.4		1.5TB → 214GB, Tencents quantization method packs weights down to 1.25 bits
1559740	tech	0	1	17.0		DEFCON 34: ESP32 Counter Surveillance for Everyone by Cybertiger & Colonel Panic
