# id	sub	bounty	ncom	ageH	tags	title
1571733	security	0	1	1.8	FRESH	Running CLN? Disable --experimental-dual-fund, dual-funded (v2) channels
1571579	bitcoin	0	8	5.0	HOT	🇨🇭 Swiss Bitcoin Pay potentially hacked
1571289	AskSN	0	11	9.7	HOT	Looking for advice - upcoming Austin, TX trip
1571269	bitcoin	0	6	10.1	HOT	Would it be better if Bitcoin was "completely confidential"?
1571012	AskSN	0	11	19.8	HOT	Do you think we’ve already seen the bottom for BTC?
1571285	meta	0	19	9.8	HOT	Stacker News Monthly: August 2026
1571693	AskSN	0	2	2.6		Is lightning too complicated?
1571660	bitcoin	0	2	3.3		Wasabi Wallet Release v2.8.3
1570937	AskSN	0	29	21.8		What happens when a Mostro dispute is opened? 🧌
1571417	DIY	0	3	7.6		The Seatadel ⛵ Bitcoin node, Nostr relay, and library on a sailboat
1571389	bitcoin	0	0	8.1		The Bitcoin Well IRA Is Coming: Real Bitcoin, in the Account the IRS Can't Touch
1571091	bitcoin	0	0	15.9		Electrs migrated to bindex indexer, requires Bitcoin Core 31+ and full reindex
1571341	bitcoin	0	0	8.8		Bitcoin Tech Talk #518: Clancy PsyOp, Dark Academia, Fraud, Drones, Poorness++
1571142	meta	0	2	13.5		This Day on SN: September 14
1571280	tech	0	3	9.9		Bluetooth Headphone Audio Lag
1571246	tech	0	0	10.5		Open and publish static websites that live in BitTorrent swarms
1571131	AI	0	0	13.7		OpenAI Agent Swarm Hacks RubyGems Package Manager
