# id	sub	bounty	ncom	ageH	tags	title
1573535	Memes	0	3	1.2	FRESH,HOT	👨‍🍳 Just cooked up a fresh batch of Bitcoinized business names
1572805	AskSN	0	43	14.2	HOT	Is starting another coin the best way to fix Bitcoin?
1572707	news	0	4	14.9	HOT	Senate cloture vote on CLARITY Act fails, falling short of 60 votes
1573065	Travel	0	17	11.2	HOT	Is it possible to fake your own death?
1573412	bitcoin	0	2	5.6	HOT	Update: Bisq 2 v2.1.13 🚀
1573169	bitcoin	0	7	8.8	HOT	AQUA announces brand-new custom swap infra, gets DOSed
1572403	bitcoin	0	13	18.3	HOT	House Set To Take First Step To Establish A Federal Strategic Bitcoin Reserve
1572744	bitcoin	0	1	14.6	HOT	Adam Gibson and Rob Segers - Bitcoin Optech Newsletter #422 Recap Podcast
1572582	events	0	2	16.0	HOT	THIS THURSDAY: Austin Bitdevs Socratic Seminar #80
1573130	bitcoin	0	1	9.9	HOT	Clarity Act is Dead Status Quo Set Till 2029
1572253	bitcoin	0	18	20.2	HOT	Cash App Launches Bitcoin Bonus! Earn 2% per week on BTC balance
1573274	bitcoin	0	2	7.6	HOT	Why Porter Stansberry Dates America’s Monetary Reset to 2029 - Rumble
1572561	bitcoin	0	6	16.2	HOT	Splitting off blake2b coins via locktime
1573255	bitcoin	0	1	7.9	HOT	BULL BITCOIN ist ab sofort vollständig auf Deutsch verfügbar 🇩🇪
1572215	math	0	2	21.1	HOT	I published a blog post about how the GLV endomorphism works on libsecp256k1
1573094	bitcoin	0	3	10.5	HOT	Ethiopia’s Bitcoin Mining Farms Are Having A Water Problem
1572577	bitcoin	0	1	16.1	HOT	Testing 4 BitKey Disaster Scenarios: How Did It Hold Up?
1572425	AI	0	4	17.9	HOT	LNemail latest improvements
1573302	meta	0	34	7.0	HOT	Fucking 3M in rewards
1572597	meta	0	20	15.8	HOT	BREAKING: SN hits 2M Sats for Daily Rewards, PREDYX Market Resolved
1572309	meta	0	0	19.4	HOT	The rewards pot is hot: 806,706 sats
1572425	AI	0	4	17.9	HOT	LNemail latest improvements
1573383	lol	0	5	6.1		Blockstream's move to not pay 10% to Liquid Whitehat "was the right one".
1573500	bitcoin	0	0	2.4		Bitcoin Faces a Critical FOMC Moment
1573449	AskSN	0	0	4.6		On Tuesday, September 15, SN distributed 3,142,538 sats in rewards
1573300	bitcoin	0	0	7.1		Help doesn't ask where you're from
1573160	bitcoin	0	5	9.0		Lightning Lands On BitBox
1573394	bitcoin	0	0	5.9		Moment of Clarity
1572581	gaming	0	8	16.0		Clixel: click a moving pixel, win the pot in sats. Every click adds 0.01 sats.
1572904	bitcoin	0	0	13.4		Depots: Theft-Proof, Self-Custodial Bitcoin For Billions Of Users
1572829	meta	0	19	13.9		There will be no rewards payout tomorrow, despite the largest pot (2.4m sats)
1572866	tech	0	0	13.6		M5 Ultra Demolishes The 96-Core Ryzen Threadripper PRO 9995WX CPU In Geekbench
1572784	AI	0	2	14.3		OpenRouter users spent more on OpenAI models than on Anthropic models last week
1572436	security	0	1	17.8		HexOS Buddy Backups: now in beta
1572672	security	0	2	15.2		The Digital Gadgets Experts Use To Vanish Online
1572630	DIY	0	3	15.5		My old phone is the best dash cam I own and it uploads the clips when I get home
1572965	tech	0	0	13.0		Introducing System One Models and Jev
1572671	gaming	0	1	15.2		GeForce RTX 5090 is disappearing from stores, first listing hits $9,600
1572806	news	0	0	14.2		India ends free ride for larger txs on its ubiquitous digital payments network
1572284	AI	0	2	19.9		Have it both ways: stay discoverable in search while disallowing AI training
