# id	sub	bounty	ncom	ageH	tags	title
1581033	mostly_harmless	0	0	1.7	FRESH,HOT	There was this old website I used to go to called FunStuffToSee.com
1580989	bitcoin	0	4	2.6	HOT	Shielded Bitcoin: Private Transfers on Bitcoin L1
1580902	bitcoin	0	1	5.0	HOT	Responsible disclosure and White hacking it's about Caring
1580724	bitcoin	0	3	14.2	HOT	Core Lightning 26.06.8 is out, and every node runner should upgrade.
1580564	bitcoin	0	2	19.5	HOT	A Review of SHRINCs - Project Eleven
1580908	bitcoin	0	0	4.8		Bitcoin is 1% of global money
1580515	bitcoin	0	4	20.8		SignerOS 1.3.0: Turn a regular PC into an offline Bitcoin signing device
1580533	bitcoin	0	2	20.4		Giving Bitcoin as a Gift
1580451	bitcoin	0	5	22.9		A Small Update on My First Lightning Channel Goal
1580473	bitcoin	0	3	22.2		A new Mostro Client for mobile and Web https://mostra.top
1580814	meta	0	1	8.6		Introducing: The Lightning Network Gossip \ a weekly ~lightning newsletter
1580900	security	0	6	5.2		An agent that configures my machine without touching it
1580751	tech	0	9	12.8		YOU CAN SEE EVERYTHING - official trailer
1580643	news	0	0	17.7		Homeland Security is monitoring activists building anti-flock tech
1580513	tech	0	0	21.1		Claude discovers a novel enzyme system with CRISPR-like repeats
